name,variable_description,data_collection_period,educational_category,high_school_diploma,college_degree,graduate_degree,population_estimate
"Sac County, Iowa",Total,2011-2015,NA,NA,NA,NA,7171
"Woodbury County, Iowa",Total,2008-2012,NA,NA,NA,NA,64212
"Clay County, Iowa",6th grade,2009-2013,Less than High School,No,No,No,23
"Mills County, Iowa",7th grade,2008-2012,Less than High School,No,No,No,3
"Jones County, Iowa",4th grade,2014-2018,Less than High School,No,No,No,0
"Madison County, Iowa",5th grade,2008-2012,Less than High School,No,No,No,0
"Cass County, Iowa",3rd grade,2012-2016,Less than High School,No,No,No,0
"Cass County, Iowa",1st grade,2010-2014,Less than High School,No,No,No,8
"Linn County, Iowa",2nd grade,2011-2015,Less than High School,No,No,No,0
"Floyd County, Iowa",8th grade,2009-2013,Less than High School,No,No,No,149
"Osceola County, Iowa",Total,2015-2019,NA,NA,NA,NA,4250
"Carroll County, Iowa",3rd grade,2011-2015,Less than High School,No,No,No,0
"Sac County, Iowa",1st grade,2013-2017,Less than High School,No,No,No,0
"Cass County, Iowa",10th grade,2008-2012,Less than High School,No,No,No,70
"Keokuk County, Iowa",1st grade,2011-2015,Less than High School,No,No,No,0
"Adams County, Iowa",9th grade,2012-2016,Less than High School,No,No,No,45
"Wright County, Iowa",1st grade,2011-2015,Less than High School,No,No,No,0
"Marion County, Iowa",2nd grade,2008-2012,Less than High School,No,No,No,0
"Plymouth County, Iowa","12th grade, no diploma",2013-2017,Less than High School,No,No,No,167
"Adams County, Iowa","Some college, 1 or more years, no degree",2008-2012,Some College or Associates Degree,Yes,No,No,423
"Adams County, Iowa",6th grade,2011-2015,Less than High School,No,No,No,7
"Worth County, Iowa",Kindergarten,2008-2012,Less than High School,No,No,No,0
"Audubon County, Iowa",10th grade,2013-2017,Less than High School,No,No,No,87
"Wayne County, Iowa",10th grade,2014-2018,Less than High School,No,No,No,42
"Calhoun County, Iowa",Professional school degree,2015-2019,Bachelors Degree or Higher,Yes,Yes,Yes,87
"Winnebago County, Iowa",2nd grade,2015-2019,Less than High School,No,No,No,0
"Tama County, Iowa",9th grade,2014-2018,Less than High School,No,No,No,90
"Winnebago County, Iowa",3rd grade,2008-2012,Less than High School,No,No,No,7
"Palo Alto County, Iowa",3rd grade,2012-2016,Less than High School,No,No,No,0
"Wright County, Iowa",8th grade,2014-2018,Less than High School,No,No,No,62
"Davis County, Iowa",4th grade,2014-2018,Less than High School,No,No,No,0
"Poweshiek County, Iowa",No schooling completed,2010-2014,Less than High School,No,No,No,85
"Mahaska County, Iowa",2nd grade,2010-2014,Less than High School,No,No,No,0
"Hancock County, Iowa",Bachelor's degree,2010-2014,Bachelors Degree or Higher,Yes,Yes,No,1049
"Clarke County, Iowa",1st grade,2010-2014,Less than High School,No,No,No,0
"Emmet County, Iowa",Regular high school diploma,2015-2019,High School Graduate,Yes,No,No,1918
"Bremer County, Iowa",Professional school degree,2013-2017,Bachelors Degree or Higher,Yes,Yes,Yes,164
"Hancock County, Iowa",Master's degree,2011-2015,Bachelors Degree or Higher,Yes,Yes,No,302
"Tama County, Iowa",GED or alternative credential,2012-2016,High School Graduate,Yes,No,No,485
"Lee County, Iowa",Nursery school,2013-2017,Less than High School,No,No,No,11
"Grundy County, Iowa",Total,2015-2019,NA,NA,NA,NA,8628
"Madison County, Iowa","Some college, 1 or more years, no degree",2008-2012,Some College or Associates Degree,Yes,No,No,1396
"Grundy County, Iowa",Kindergarten,2011-2015,Less than High School,No,No,No,0
"Marion County, Iowa",Nursery school,2009-2013,Less than High School,No,No,No,0
"Ringgold County, Iowa",7th grade,2013-2017,Less than High School,No,No,No,4
"Clayton County, Iowa",5th grade,2011-2015,Less than High School,No,No,No,12
"Washington County, Iowa",Nursery school,2010-2014,Less than High School,No,No,No,0
"Jones County, Iowa",7th grade,2008-2012,Less than High School,No,No,No,25
"Taylor County, Iowa",11th grade,2008-2012,Less than High School,No,No,No,118
"Jackson County, Iowa",3rd grade,2014-2018,Less than High School,No,No,No,0
"Jones County, Iowa",Nursery school,2010-2014,Less than High School,No,No,No,0
"Clayton County, Iowa",1st grade,2010-2014,Less than High School,No,No,No,0
"Dallas County, Iowa",4th grade,2008-2012,Less than High School,No,No,No,0
"Clay County, Iowa",Professional school degree,2011-2015,Bachelors Degree or Higher,Yes,Yes,Yes,94
"Madison County, Iowa",Total,2009-2013,NA,NA,NA,NA,10520
"Butler County, Iowa",Bachelor's degree,2010-2014,Bachelors Degree or Higher,Yes,Yes,No,1198
"Pottawattamie County, Iowa",Regular high school diploma,2014-2018,High School Graduate,Yes,No,No,18030
"Sioux County, Iowa",Master's degree,2013-2017,Bachelors Degree or Higher,Yes,Yes,No,1196
"Appanoose County, Iowa",GED or alternative credential,2015-2019,High School Graduate,Yes,No,No,505
"Lucas County, Iowa",Professional school degree,2011-2015,Bachelors Degree or Higher,Yes,Yes,Yes,37
"Boone County, Iowa",11th grade,2011-2015,Less than High School,No,No,No,330
"Tama County, Iowa",Professional school degree,2008-2012,Bachelors Degree or Higher,Yes,Yes,Yes,104
"Taylor County, Iowa",1st grade,2013-2017,Less than High School,No,No,No,0
