Geographic Name,2023,2023,2023,2022,2022,2022,2021,2021,2021,2020,2020,2020,2019,2019,2019,2018,2018,2018,2017,2017,2017,2016,2016,2016,2015,2015,2015,2014,2014,2014,2013,2013,2013,2012,2012,2012,2011,2011,2011,2010,2010,2010,2009,2009,2009,2008,2008,2008,2007,2007,2007,2006,2006,2006,2005,2005,2005,2004,2004,2004,2003,2003,2003,2002,2002,2002,2001,2001,2001,2000,2000,2000
Adair County,"$67,873.00","$59,877.00","$75,869.00","$66,997.00","$59,673.00","$74,321.00","$60,847.00","$54,194.00","$67,500.00","$55,265.00","$48,799.00","$61,731.00","$57,977.00","$51,496.00","$64,458.00","$54,282.00","$48,672.00","$59,892.00","$53,539.00","$50,020.00","$57,058.00","$53,416.00","$48,467.00","$58,365.00","$51,531.00","$46,792.00","$56,270.00","$48,216.00","$44,519.00","$51,913.00","$47,905.00","$43,451.00","$52,359.00","$46,917.00","$42,877.00","$50,957.00","$44,701.00","$41,349.00","$48,053.00","$45,540.00","$41,480.00","$49,600.00","$47,553.00","$43,850.00","$51,256.00","$44,824.00","$40,538.00","$49,110.00","$45,478.00","$41,634.00","$49,322.00","$38,977.00","$36,010.00","$41,943.00","$39,568.00","$36,240.00","$42,896.00","$41,406.00","$38,878.00","$44,099.00","$38,529.00","$36,138.00","$41,077.00","$37,724.00","$35,174.00","$40,460.00","$36,961.00","$34,479.00","$39,621.00","$37,428.00","$34,706.00","$40,363.00"
Adams County,"$63,399.00","$55,732.00","$71,066.00","$58,973.00","$52,190.00","$65,756.00","$54,403.00","$48,503.00","$60,303.00","$56,291.00","$48,586.00","$63,996.00","$53,385.00","$47,378.00","$59,392.00","$51,577.00","$45,945.00","$57,209.00","$45,384.00","$40,981.00","$49,787.00","$46,939.00","$43,427.00","$50,451.00","$48,162.00","$43,537.00","$52,787.00","$51,929.00","$49,405.00","$54,453.00","$44,004.00","$39,842.00","$48,166.00","$42,338.00","$38,597.00","$46,079.00","$42,062.00","$38,171.00","$45,953.00","$39,781.00","$36,107.00","$43,455.00","$38,191.00","$34,347.00","$42,035.00","$40,393.00","$36,651.00","$44,135.00","$37,307.00","$33,659.00","$40,955.00","$34,832.00","$32,189.00","$37,475.00","$35,296.00","$32,117.00","$38,475.00","$35,149.00","$32,943.00","$37,504.00","$32,146.00","$30,068.00","$34,368.00","$31,183.00","$29,025.00","$33,501.00","$31,625.00","$29,456.00","$33,953.00","$32,373.00","$29,984.00","$34,954.00"
Allamakee County,"$65,586.00","$58,177.00","$72,995.00","$60,743.00","$55,763.00","$65,723.00","$60,717.00","$56,514.00","$64,920.00","$55,320.00","$48,309.00","$62,331.00","$56,240.00","$50,733.00","$61,747.00","$53,359.00","$48,672.00","$58,046.00","$55,766.00","$49,784.00","$61,748.00","$49,439.00","$45,854.00","$53,024.00","$47,756.00","$43,558.00","$51,954.00","$45,229.00","$41,009.00","$49,449.00","$44,673.00","$40,791.00","$48,555.00","$45,923.00","$42,154.00","$49,692.00","$39,670.00","$36,370.00","$42,970.00","$45,881.00","$42,987.00","$48,775.00","$44,119.00","$41,288.00","$46,951.00","$39,049.00","$36,238.00","$41,861.00","$40,272.00","$36,449.00","$44,095.00","$40,274.00","$37,317.00","$43,231.00","$36,822.00","$34,041.00","$39,604.00","$37,215.00","$34,937.00","$39,640.00","$35,212.00","$33,065.00","$37,498.00","$35,168.00","$32,831.00","$37,673.00","$34,860.00","$32,552.00","$37,333.00","$35,216.00","$32,686.00","$37,943.00"
Appanoose County,"$54,629.00","$48,563.00","$60,695.00","$53,589.00","$47,520.00","$59,658.00","$51,222.00","$46,636.00","$55,808.00","$49,737.00","$43,339.00","$56,135.00","$41,672.00","$37,443.00","$45,901.00","$44,298.00","$39,986.00","$48,610.00","$55,404.00","$49,844.00","$60,964.00","$39,124.00","$35,107.00","$43,141.00","$41,018.00","$38,211.00","$43,825.00","$40,422.00","$37,768.00","$43,076.00","$37,683.00","$34,107.00","$41,259.00","$38,685.00","$35,733.00","$41,637.00","$36,693.00","$33,463.00","$39,923.00","$35,352.00","$32,425.00","$38,279.00","$33,663.00","$30,504.00","$36,822.00","$33,842.00","$31,143.00","$36,540.00","$34,349.00","$30,942.00","$37,757.00","$33,191.00","$30,260.00","$36,122.00","$31,764.00","$29,190.00","$34,338.00","$32,164.00","$30,244.00","$34,205.00","$30,273.00","$28,438.00","$32,227.00","$29,509.00","$27,541.00","$31,618.00","$29,060.00","$27,127.00","$31,131.00","$29,929.00","$27,767.00","$32,259.00"
Audubon County,"$64,977.00","$56,963.00","$72,991.00","$60,504.00","$52,787.00","$68,221.00","$69,484.00","$66,458.00","$72,510.00","$56,338.00","$47,791.00","$64,885.00","$53,197.00","$47,251.00","$59,143.00","$51,210.00","$45,878.00","$56,542.00","$66,112.00","$64,099.00","$68,125.00","$49,560.00","$44,614.00","$54,506.00","$50,948.00","$46,407.00","$55,489.00","$50,014.00","$44,992.00","$55,036.00","$47,227.00","$42,642.00","$51,812.00","$47,823.00","$43,324.00","$52,322.00","$45,310.00","$40,934.00","$49,686.00","$45,563.00","$41,602.00","$49,524.00","$45,280.00","$40,842.00","$49,718.00","$42,206.00","$38,446.00","$45,966.00","$39,422.00","$35,818.00","$43,026.00","$38,948.00","$35,531.00","$42,364.00","$38,941.00","$35,359.00","$42,523.00","$38,935.00","$36,453.00","$41,586.00","$35,650.00","$33,430.00","$38,018.00","$34,963.00","$32,572.00","$37,530.00","$34,221.00","$31,841.00","$36,780.00","$33,989.00","$31,459.00","$36,722.00"
Benton County,"$86,364.00","$79,066.00","$93,662.00","$82,762.00","$76,254.00","$89,270.00","$78,155.00","$70,861.00","$85,449.00","$72,308.00","$64,599.00","$80,017.00","$70,023.00","$63,726.00","$76,320.00","$62,799.00","$59,690.00","$65,908.00","$58,386.00","$53,182.00","$63,590.00","$63,069.00","$58,040.00","$68,098.00","$65,127.00","$59,754.00","$70,500.00","$61,931.00","$57,713.00","$66,149.00","$59,179.00","$53,959.00","$64,399.00","$59,333.00","$55,101.00","$63,565.00","$54,222.00","$51,439.00","$57,005.00","$54,283.00","$50,665.00","$57,901.00","$56,592.00","$52,337.00","$60,848.00","$57,029.00","$52,450.00","$61,609.00","$54,417.00","$49,965.00","$58,869.00","$49,756.00","$45,897.00","$53,615.00","$48,713.00","$44,473.00","$52,954.00","$48,531.00","$45,557.00","$51,700.00","$46,956.00","$44,068.00","$50,034.00","$45,761.00","$42,691.00","$49,051.00","$44,704.00","$41,704.00","$47,920.00","$44,742.00","$41,503.00","$48,233.00"
Black Hawk County,"$61,558.00","$57,265.00","$65,851.00","$62,020.00","$57,560.00","$66,480.00","$60,716.00","$56,623.00","$64,809.00","$56,091.00","$52,861.00","$59,321.00","$60,010.00","$56,751.00","$63,269.00","$52,320.00","$50,181.00","$54,459.00","$55,947.00","$50,385.00","$61,509.00","$50,887.00","$47,848.00","$53,926.00","$50,335.00","$48,098.00","$52,572.00","$51,331.00","$48,926.00","$53,736.00","$46,281.00","$44,108.00","$48,454.00","$48,625.00","$46,192.00","$51,058.00","$43,037.00","$41,248.00","$44,826.00","$44,046.00","$41,686.00","$46,406.00","$42,753.00","$40,454.00","$45,052.00","$45,647.00","$43,482.00","$47,812.00","$41,965.00","$40,199.00","$43,730.00","$42,233.00","$40,461.00","$44,005.00","$40,502.00","$38,362.00","$42,643.00","$41,125.00","$38,750.00","$43,645.00","$39,459.00","$37,168.00","$41,891.00","$38,203.00","$35,777.00","$40,793.00","$37,337.00","$34,971.00","$39,863.00","$37,872.00","$35,258.00","$40,679.00"
Boone County,"$77,381.00","$69,962.00","$84,800.00","$74,896.00","$68,970.00","$80,822.00","$69,888.00","$62,116.00","$77,660.00","$70,656.00","$62,662.00","$78,650.00","$63,975.00","$57,319.00","$70,631.00","$63,099.00","$58,315.00","$67,883.00","$63,430.00","$57,755.00","$69,105.00","$60,421.00","$56,882.00","$63,960.00","$58,010.00","$54,434.00","$61,586.00","$54,186.00","$49,832.00","$58,540.00","$52,578.00","$48,754.00","$56,402.00","$51,399.00","$47,187.00","$55,611.00","$50,758.00","$46,646.00","$54,870.00","$51,723.00","$47,264.00","$56,182.00","$51,678.00","$46,929.00","$56,427.00","$48,026.00","$44,844.00","$51,208.00","$49,733.00","$45,556.00","$53,909.00","$48,434.00","$45,233.00","$51,635.00","$45,009.00","$41,780.00","$48,238.00","$46,134.00","$43,288.00","$49,166.00","$43,704.00","$41,005.00","$46,581.00","$42,301.00","$39,447.00","$45,362.00","$41,239.00","$38,485.00","$44,191.00","$41,973.00","$38,933.00","$45,250.00"
Bremer County,"$79,410.00","$72,961.00","$85,859.00","$83,797.00","$79,297.00","$88,297.00","$75,395.00","$70,591.00","$80,199.00","$74,596.00","$67,955.00","$81,237.00","$67,229.00","$63,212.00","$71,246.00","$74,646.00","$71,013.00","$78,279.00","$67,946.00","$64,017.00","$71,875.00","$65,733.00","$61,272.00","$70,194.00","$65,295.00","$60,382.00","$70,208.00","$62,438.00","$57,396.00","$67,480.00","$61,665.00","$57,035.00","$66,295.00","$60,034.00","$55,924.00","$64,144.00","$57,646.00","$53,499.00","$61,793.00","$55,606.00","$51,562.00","$59,650.00","$54,482.00","$49,988.00","$58,976.00","$56,456.00","$53,660.00","$59,251.00","$51,838.00","$48,794.00","$54,882.00","$48,803.00","$44,997.00","$52,609.00","$46,665.00","$44,013.00","$49,316.00","$47,568.00","$44,641.00","$50,686.00","$44,830.00","$42,088.00","$47,752.00","$44,111.00","$41,172.00","$47,260.00","$42,649.00","$39,824.00","$45,673.00","$42,753.00","$39,657.00","$46,090.00"
